date,metro,upt,year,month,baseline_upt,index_vs_2014_2019_month,index_3mma
2023-03-01,Chicago,22890410.0,2023,3,42158369.666666664,54.296241009762646,53.09257198441883
2023-04-01,Chicago,21987420.0,2023,4,40892433.5,53.76892035540022,53.26346570608354
2023-05-01,Chicago,24283993.0,2023,5,42403819.833333336,57.26840906184242,55.11119014233509
2023-06-01,Chicago,23590751.0,2023,6,41513274.666666664,56.827005793745144,55.954778403662594
2023-07-01,Chicago,23019459.0,2023,7,41086693.833333336,56.02655471228128,56.70732318928962
2023-08-01,Chicago,25640311.0,2023,8,41523745.333333336,61.74855084523685,58.20070378375443
2023-09-01,Chicago,25853359.0,2023,9,42848120.833333336,60.33720615324534,59.3707705702545
2023-10-01,Chicago,26752335.0,2023,10,45136199.5,59.27024272391387,60.45199990746536
2023-11-01,Chicago,23815456.0,2023,11,39400186.166666664,60.44503419161087,60.01749435625669
2023-12-01,Chicago,22075360.0,2023,12,36805823.666666664,59.97789969306579,59.897725536196845
2024-01-01,Chicago,21435348.0,2024,1,37312533.333333336,57.44811752261975,59.290350469098804
2024-02-01,Chicago,23708494.0,2024,2,37440902.333333336,63.3224428966086,60.24948670409805
2024-03-01,Chicago,24901491.0,2024,3,42158369.666666664,59.06654170189329,59.945700707040544
2024-04-01,Chicago,26073550.0,2024,4,40892433.5,63.76130684421116,62.05009714757102
2024-05-01,Chicago,27698042.0,2024,5,42403819.833333336,65.31968607749525,62.71584487453324
2024-06-01,Chicago,25671439.0,2024,6,41513274.666666664,61.83910858907269,63.640033836926364
2024-07-01,Chicago,26586643.0,2024,7,41086693.833333336,64.70864535328089,63.9558133399496
2024-08-01,Chicago,27279293.0,2024,8,41523745.333333336,65.69564662583905,64.08113352273087
2024-09-01,Chicago,27827066.0,2024,9,42848120.833333336,64.94349217376218,65.1159280509607
2024-10-01,Chicago,30145066.0,2024,10,45136199.5,66.78689462988571,65.80867780982898
2024-11-01,Chicago,25012889.0,2024,11,39400186.166666664,63.48418988223309,65.07152556196033
2024-12-01,Chicago,22857705.0,2024,12,36805823.666666664,62.10350081283785,64.12486177498555
2025-01-01,Chicago,22914456.0,2025,1,37312533.333333336,61.41222252397765,62.33330440634953
2025-02-01,Chicago,22506933.0,2025,2,37440902.333333336,60.11322269859468,61.20964867847005
2025-03-01,Chicago,26233601.0,2025,3,42158369.666666664,62.226317591076366,61.250587604549565
2025-04-01,Chicago,27529294.0,2025,4,40892433.5,67.32124171578099,63.22026066848401
2025-05-01,Chicago,28133019.0,2025,5,42403819.833333336,66.3454828139913,65.29768070694955
2025-06-01,Chicago,26925817.0,2025,6,41513274.666666664,64.86073964581803,66.17582139186344
2025-07-01,Chicago,27811183.0,2025,7,41086693.833333336,67.68902631303226,66.29841625761385
2025-08-01,Chicago,29234067.0,2025,8,41523745.333333336,70.40325183897187,67.65100593260739
2025-09-01,Chicago,29453710.0,2025,9,42848120.833333336,68.73979401469278,68.94402405556563
2025-10-01,Chicago,30451035.0,2025,10,45136199.5,67.46477403353377,68.86927329573281
2025-11-01,Chicago,24880677.0,2025,11,39400186.166666664,63.14862801600045,66.45106535474234
2025-12-01,Chicago,23086974.0,2025,12,36805823.666666664,62.72641582236565,64.44660595729995
2014-01-01,New York,266300532.0,2014,1,261675592.16666666,101.76743264247115,101.76743264247115
2014-02-01,New York,262732271.0,2014,2,256123531.0,102.5802939597924,102.17386330113177
2014-03-01,New York,308646643.0,2014,3,297943163.1666667,103.59245693694467,102.64672784640273
2014-04-01,New York,301311250.0,2014,4,289513435.1666667,104.07504916880337,103.41593335518014
2014-05-01,New York,314671353.0,2014,5,301451402.6666667,104.38543334560345,104.01764648378384
2014-06-01,New York,295280154.0,2014,6,291393713.8333333,101.33374193819759,103.26474148420147
2014-07-01,New York,290755105.0,2014,7,279081763.0,104.18276775756215,103.30064768045439
2014-08-01,New York,291872759.0,2014,8,276328701.6666667,105.62520550329369,103.71390506635116
2014-09-01,New York,304399536.0,2014,9,287479949.1666667,105.88548414676538,105.23115246920707
2014-10-01,New York,319046688.0,2014,10,311595245.8333333,102.39138506325361,104.63402490443757
2014-11-01,New York,277722047.0,2014,11,282663080.0,98.25197086227179,102.17628002409693
2014-12-01,New York,291604431.0,2014,12,279565729.8333333,104.30621491906169,101.64985694819569
2015-01-01,New York,256572982.0,2015,1,261675592.16666666,98.05002441212909,100.20273673115419
2015-02-01,New York,246016145.0,2015,2,256123531.0,96.05370659988284,99.46998197702455
2015-03-01,New York,299442696.0,2015,3,297943163.1666667,100.50329492960861,98.2023419805402
2015-04-01,New York,293135812.0,2015,4,289513435.1666667,101.25119472650657,99.26939875199935
2015-05-01,New York,288485533.0,2015,5,301451402.6666667,95.69885243459827,99.1511140302378
2015-06-01,New York,295644889.0,2015,6,291393713.8333333,101.4589110762692,99.46965274579134
2015-07-01,New York,298367775.0,2015,7,279081763.0,106.91052392413043,101.35609581166597
2015-08-01,New York,259890609.0,2015,8,276328701.6666667,94.05125397125926,100.80689632388629
2015-09-01,New York,285928652.0,2015,9,287479949.1666667,99.4603807426697,100.1407195460198
2015-10-01,New York,316160982.0,2015,10,311595245.8333333,101.46527786534614,98.32563752642504
2015-11-01,New York,283668145.0,2015,11,282663080.0,100.35556995982637,100.42707618928074
2015-12-01,New York,287375351.0,2015,12,279565729.8333333,102.79348301071182,101.5381102786281
